1,1960,1960-1964,1960-1969,1960-1979,
2,1961,1960-1964,1960-1969,1960-1979,
3,1962,1960-1964,1960-1969,1960-1979,
4,1963,1960-1964,1960-1969,1960-1979,
5,1964,1960-1964,1960-1969,1960-1979,
6,1965,1965-1969,1960-1969,1960-1979,
7,1966,1965-1969,1960-1969,1960-1979,
8,1967,1965-1969,1960-1969,1960-1979,
9,1968,1965-1969,1960-1969,1960-1979,
10,1969,1965-1969,1960-1969,1960-1979,
11,1970,1970-1974,1970-1979,1960-1979,
12,1971,1970-1974,1970-1979,1960-1979,
13,1972,1970-1974,1970-1979,1960-1979,
14,1973,1970-1974,1970-1979,1960-1979,
15,1974,1970-1974,1970-1979,1960-1979,
16,1975,1975-1979,1970-1979,1960-1979,
17,1976,1975-1979,1970-1979,1960-1979,
18,1977,1975-1979,1970-1979,1960-1979,
19,1978,1975-1979,1970-1979,1960-1979,
20,1979,1975-1979,1970-1979,1960-1979,
21,1980,1980-1984,1980-1989,1980-1999,
22,1981,1980-1984,1980-1989,1980-1999,
23,1982,1980-1984,1980-1989,1980-1999,
24,1983,1980-1984,1980-1989,1980-1999,
25,1984,1980-1984,1980-1989,1980-1999,
26,1985,1985-1989,1980-1989,1980-1999,
27,1986,1985-1989,1980-1989,1980-1999,
28,1987,1985-1989,1980-1989,1980-1999,
29,1988,1985-1989,1980-1989,1980-1999,
30,1989,1985-1989,1980-1989,1980-1999,
31,1990,1990-1994,1990-1999,1980-1999,
32,1991,1990-1994,1990-1999,1980-1999,
33,1992,1990-1994,1990-1999,1980-1999,
34,1993,1990-1994,1990-1999,1980-1999,
35,1994,1990-1994,1990-1999,1980-1999,
36,1995,1995-1999,1990-1999,1980-1999,
37,1996,1995-1999,1990-1999,1980-1999,
38,1997,1995-1999,1990-1999,1980-1999,
39,1998,1995-1999,1990-1999,1980-1999,
40,1999,1995-1999,1990-1999,1980-1999,
41,2000,2000-2004,2000-2009,2000-2019,
42,2001,2000-2004,2000-2009,2000-2019,
43,2002,2000-2004,2000-2009,2000-2019,
44,2003,2000-2004,2000-2009,2000-2019,
45,2004,2000-2004,2000-2009,2000-2019,
46,2005,2005-2009,2000-2009,2000-2019,
47,2006,2005-2009,2000-2009,2000-2019,
48,2007,2005-2009,2000-2009,2000-2019,
49,2008,2005-2009,2000-2009,2000-2019,
50,2009,2005-2009,2000-2009,2000-2019,
51,2010,2010-2014,2010-2019,2000-2019,
52,2011,2010-2014,2010-2019,2000-2019,
53,2012,2010-2014,2010-2019,2000-2019,
54,2013,2010-2014,2010-2019,2000-2019,
55,2014,2010-2014,2010-2019,2000-2019,
56,2015,2015-2019,2010-2019,2000-2019,
57,2016,2015-2019,2010-2019,2000-2019,
58,2017,2015-2019,2010-2019,2000-2019,
59,2018,2015-2019,2010-2019,2000-2019,
60,2019,2015-2019,2010-2019,2000-2019,
